time,amount,exchange_type,transaction_times,price
1563425974.0,1963883.2645868396,0.0,106.0,1.002
1563426262.0,640117.2659625598,0.0,83.0,1.001
1563426406.0,458080.74906818,0.0,31.0,1.002
1563427643.0,1987577.4652857394,0.0,252.0,1.002
1563428865.0,1686616.37915582,0.0,201.0,1.002
1563428865.0,2475.7,1.0,1.0,1.002
1563428891.0,152673.15863915998,0.0,30.0,1.001
1563429327.0,1226425.1159375997,0.0,103.0,1.002
1563429687.0,627780.4809377998,0.0,77.0,1.001
1563431368.0,2294907.4244145206,0.0,186.0,1.002
1563431993.0,1682655.03172399,0.0,140.0,1.001
1563432064.0,1549.5087999999998,0.0,2.0,1.002
1563433562.0,3944736.2279589423,0.0,519.0,1.002
1563433584.0,1678961.0364881104,0.0,71.0,1.0
1563435301.0,5089995.432388843,0.0,1004.0,1.002
1563435620.0,3150237.8856493705,0.0,260.0,1.0
1563435690.0,621216.9886097102,0.0,118.0,1.001
1563435711.0,24258.1328,0.0,5.0,1.002
1563436725.0,7591046.493501336,0.0,682.0,1.002
1563437019.0,2945219.02975124,0.0,287.0,1.001
1563437405.0,2254392.18354849,0.0,327.0,1.002
1563438269.0,3373258.683410958,0.0,397.0,1.001
1563438771.0,2076173.4653111198,0.0,193.0,1.001
1563439693.0,2425658.5895076003,0.0,309.0,1.001
1563440399.0,3093957.9392198496,0.0,222.0,1.002
1563441098.0,1799031.0720778601,0.0,279.0,1.0
1563441684.0,2066788.2721334693,0.0,196.0,1.002
1563441903.0,860788.667143,0.0,61.0,1.002
1563442524.0,1235433.7389680003,0.0,219.0,1.001
1563442975.0,3765494.53816276,0.0,148.0,1.002
1563445550.0,4583102.002095837,0.0,553.0,1.002
1563446799.0,2959195.4772890797,0.0,272.0,1.002
1563446853.0,1104241.0527075497,0.0,49.0,1.002
1563447762.0,4681670.425338261,0.0,328.0,1.001
1563448366.0,1850679.935016,0.0,153.0,1.002
1563448848.0,6655455.119666074,0.0,209.0,1.001
1563449056.0,651809.57901373,0.0,42.0,1.002
1563449649.0,2049232.0486570403,0.0,137.0,1.001
1563450736.0,4793424.007335938,0.0,297.0,1.001
1563451787.0,1851431.0456944504,0.0,282.0,1.001
1563453001.0,1737381.328638699,0.0,291.0,1.002
1563455146.0,3260337.6307404405,0.0,400.0,1.002
1563455839.0,615862.8488153999,0.0,116.0,1.002
1563456081.0,1946034.0889928206,0.0,128.0,1.002
1563457188.0,2989542.9178590197,0.0,253.0,1.002
1563457667.0,1074542.7621959,0.0,121.0,1.002
1563458124.0,563858.4004970001,0.0,92.0,1.002
1563458186.0,168953.64086486006,0.0,18.0,1.002
1563459637.0,3553851.16648838,0.0,269.0,1.002
1563460608.0,1172756.9329795998,0.0,235.0,1.002
1563460703.0,312224.77492835006,0.0,24.0,1.002
1563461024.0,2961966.609598159,0.0,85.0,1.002
1563461845.0,3610644.68788484,0.0,286.0,1.002
1563462741.0,3515043.1515022605,0.0,247.0,1.002
1563462954.0,1215354.143291,0.0,63.0,1.002
1563463094.0,823441.2412731999,0.0,42.0,1.002
1563463297.0,4675870.350241299,0.0,198.0,1.002
1563464016.0,4148692.96422597,0.0,247.0,1.002
1563467342.0,2489272.7354456997,0.0,433.0,1.002
1563467638.0,913616.1545270003,0.0,169.0,1.002
1563468236.0,2118962.1657327414,0.0,149.0,1.002
1563468358.0,617440.9123843,0.0,67.0,1.002
1563468786.0,1842294.0511322604,0.0,103.0,1.002
1563469118.0,472724.60166422994,0.0,59.0,1.002
1563470111.0,1567643.6084402804,0.0,150.0,1.002
1563471283.0,761559.3411926602,0.0,112.0,1.002
1563472248.0,2352754.9610414803,0.0,128.0,1.002
1563474275.0,578669.588205,0.0,163.0,1.002
1563475808.0,539333.3713199999,0.0,116.0,1.002
1563476821.0,1141209.5809101,0.0,118.0,1.002
1563477370.0,279312.60413242003,0.0,66.0,1.002
1563477919.0,460844.61257999996,0.0,48.0,1.002
1563477948.0,7174.21362375,0.0,5.0,1.002
1563478010.0,674204.772059,0.0,7.0,1.002
1563478108.0,39360.788923,0.0,5.0,1.002
1563478398.0,222287.50166500002,0.0,26.0,1.002
1563480423.0,355972.11482829996,0.0,137.0,1.002
1563480543.0,58960.028311999995,0.0,9.0,1.002
1563481028.0,289127.11313599994,0.0,49.0,1.002
1563482340.0,342881.9082339999,0.0,93.0,1.002
1563483213.0,163141.81766499998,0.0,56.0,1.002
1563483559.0,58714.495900099995,0.0,25.0,1.002
1563483618.0,40680.68189687,0.0,9.0,1.002
1563486020.0,1101309.100905,0.0,161.0,1.002
1563486520.0,1879469.223062,0.0,36.0,1.002
1563486721.0,701885.9377304801,0.0,35.0,1.002
1563487332.0,418753.259978,0.0,58.0,1.002
1563487786.0,119065.51014600002,0.0,44.0,1.002
1563488266.0,252598.24699100002,0.0,36.0,1.002
1563488594.0,1261374.5721669998,0.0,26.0,1.002
1563488698.0,1957616.6448460796,0.0,141.0,1.002
1563488845.0,197264.69029615,0.0,53.0,1.002
1563488882.0,17596.643447,0.0,5.0,1.002
1563489333.0,101738.00688899998,0.0,32.0,1.002
1563491281.0,813532.3829909195,0.0,202.0,1.002
1563491767.0,1802073.3390442801,0.0,66.0,1.002
1563492106.0,242039.81475325002,0.0,48.0,1.002
1563492181.0,660322.103949,0.0,4.0,1.002
1563492465.0,429211.98001438,0.0,39.0,1.002
1563493358.0,779432.7450139999,0.0,84.0,1.002
1563493411.0,73870.76895823999,0.0,17.0,1.002
1563493729.0,1173505.782874,0.0,50.0,1.002
1563495204.0,1515960.2123723198,0.0,154.0,1.0
1563495599.0,566311.42741337,0.0,75.0,1.0
1563497464.0,1188465.5714770001,0.0,231.0,1.0
1563497613.0,544663.87239409,0.0,54.0,1.001
1563500005.0,2924060.9634840786,0.0,396.0,1.001
1563500343.0,1239771.8846106103,0.0,100.0,1.0
1563500488.0,424627.22895155,0.0,60.0,1.001
1563500722.0,696924.1025449999,0.0,40.0,1.0
1563500813.0,398232.936236,0.0,24.0,1.0
1563500987.0,185322.386058,0.0,30.0,1.001
1563501051.0,194732.51576600003,0.0,11.0,1.001
1563502280.0,2649496.0432955413,0.0,252.0,1.0
1563502606.0,767833.7853479999,0.0,124.0,1.001
1563502638.0,99144.94759000001,0.0,9.0,1.001
1563505938.0,6196591.321761459,0.0,693.0,1.001
1563506718.0,1792419.09479226,0.0,210.0,1.0
1563508138.0,1148428.9133045396,0.0,292.0,1.001
1563508633.0,1083009.9774039995,0.0,114.0,1.001
1563508756.0,838769.2777999999,0.0,28.0,1.002
1563510160.0,2879812.1911502616,0.0,358.0,1.001
1563510582.0,604507.5389309998,0.0,83.0,1.0
1563512214.0,1993942.2093103405,0.0,395.0,1.001
1563512398.0,3383957.6110145906,0.0,187.0,1.0
1563512519.0,807188.42980899,0.0,120.0,1.001
1563512999.0,2150132.1777940006,0.0,278.0,1.0
1563513701.0,3681182.62036794,0.0,209.0,1.0
1563513917.0,558788.6278145399,0.0,57.0,1.0
1563515557.0,3148990.945319059,0.0,390.0,1.001
1563516379.0,2957145.785541,0.0,212.0,1.001
1563517020.0,2289019.8237512996,0.0,260.0,1.0
1563517311.0,1887129.0488731004,0.0,82.0,1.001
1563519423.0,4691707.801215642,0.0,499.0,1.0
1563519642.0,2663146.9284822,0.0,127.0,1.0
1563520666.0,3337365.588859401,0.0,341.0,1.001
1563520855.0,1901086.2488284,0.0,61.0,1.001
1563520927.0,318589.88388000004,0.0,20.0,1.0
1563521260.0,2708219.82067046,0.0,106.0,1.001
1563521561.0,1033505.7186723099,0.0,113.0,1.001
1563522299.0,1908809.5102308404,0.0,189.0,1.001
1563522447.0,214623.04509379002,0.0,26.0,1.0
1563525466.0,4959925.4976916555,0.0,679.0,1.001
1563526152.0,2389986.8660084205,0.0,200.0,1.001
1563526724.0,1130987.24155852,0.0,157.0,1.001
1563526929.0,2120185.720345,0.0,47.0,1.002
1563528127.0,2147562.69144096,0.0,271.0,1.001
1563528999.0,1953203.4967881413,0.0,197.0,1.0
1563529495.0,1002801.8518735,0.0,158.0,1.001
1563530179.0,3979401.5451449,0.0,167.0,1.0
1563532036.0,4851535.564732443,0.0,463.0,1.001
1563533432.0,4256847.323517402,0.0,351.0,1.0
1563534119.0,1512977.9005527205,0.0,128.0,1.0
1563535255.0,2792605.627693759,0.0,205.0,1.0
1563535942.0,1204453.1502144698,0.0,166.0,1.001
1563538565.0,1968504.204558379,0.0,390.0,1.001
1563539048.0,3238508.744839949,0.0,211.0,1.001
1563539701.0,923766.7420306999,0.0,147.0,1.0
1563540541.0,2637909.638546959,0.0,186.0,1.001
1563541135.0,893995.2961110002,0.0,116.0,1.001
1563541255.0,436310.65896200004,0.0,35.0,1.0
1563542514.0,3556914.8969772197,0.0,226.0,1.001
1563542526.0,3812.728952,0.0,3.0,1.001
1563544303.0,3263691.6174369995,0.0,384.0,1.001
1563546128.0,1336058.4333810194,0.0,358.0,1.0
1563546203.0,186999.658694,0.0,26.0,1.001
1563546626.0,829582.5557009,0.0,112.0,1.001
1563547319.0,1206803.29144446,0.0,178.0,1.001
1563548504.0,1491031.350789,0.0,227.0,1.002
1563549577.0,4084719.518212278,0.0,243.0,1.001
1563550101.0,5290689.931317403,0.0,94.0,1.0
1563550927.0,1156310.6401558102,0.0,141.0,1.001
1563550928.0,89767.5,0.0,3.0,1.0
1563551348.0,153222.0139,0.0,6.0,1.002
1563551692.0,387199.53734205995,0.0,40.0,1.001
1563554258.0,279775.8336,0.0,86.0,1.002
1563554765.0,3830649.3928000005,0.0,20.0,1.002
1563556068.0,819378.7155024998,0.0,80.0,1.0
1563556234.0,270711.45664598,0.0,78.0,1.0
1563556534.0,146177.32163534,0.0,20.0,1.002
1563557060.0,392990.9568378,0.0,21.0,1.0
1563558183.0,320817.62539384,0.0,68.0,1.001
1563558826.0,608813.26413225,0.0,27.0,1.002
1563558914.0,189752.22484008002,0.0,26.0,1.002
1563559542.0,2243515.2748374995,0.0,50.0,1.001
1563560018.0,132022.973944,0.0,26.0,1.002
1563560874.0,3321986.8012082204,0.0,149.0,1.0
1563561340.0,3486328.14829429,0.0,248.0,1.001
1563561559.0,5356112.412246789,0.0,121.0,1.002
