blocktime,price
1563355580.0,1.001
1563355598.0,1.001
1563357084.0,1.001
1563357630.0,1.001
1563357822.0,1.001
1563360925.0,1.001
1563361942.0,1.001
1563362056.0,1.001
1563362508.0,1.001
1563363706.0,1.001
1563364027.0,1.001
1563364103.0,1.001
1563365088.0,1.001
1563365414.0,1.001
1563365428.0,1.001
1563366192.0,1.001
1563366807.0,1.001
1563367876.0,1.001
1563367980.0,1.001
1563368793.0,1.001
1563369167.0,1.001
1563369459.0,1.001
1563370319.0,1.001
1563370987.0,1.001
1563371614.0,1.001
1563371773.0,1.001
1563372806.0,1.001
1563374460.0,1.001
1563375142.0,1.001
1563375310.0,1.001
1563376547.0,1.001
1563376835.0,1.001
1563377417.0,1.001
1563378868.0,1.001
1563379549.0,1.001
1563379761.0,1.001
1563381012.0,1.001
1563381489.0,1.001
1563382056.0,1.001
1563382670.0,1.001
1563384906.0,1.001
1563384927.0,1.001
1563385243.0,1.001
1563386239.0,1.001
1563387146.0,1.001
1563387233.0,1.001
1563388286.0,1.001
1563389679.0,1.001
1563390494.0,1.001
1563391148.0,1.001
1563393349.0,1.001
1563393586.0,1.001
1563394926.0,1.001
1563395242.0,1.001
1563395632.0,1.001
1563396112.0,1.001
1563396248.0,1.001
1563397127.0,1.001
1563398082.0,1.001
1563399013.0,1.001
1563399528.0,1.001
1563399773.0,1.001
1563399866.0,1.001
1563400937.0,1.001
1563401616.0,1.001
1563401872.0,1.001
1563402032.0,1.001
1563402251.0,1.001
1563402255.0,1.001
1563402407.0,1.001
1563402627.0,1.001
1563404427.0,1.001
1563404677.0,1.001
1563405946.0,1.001
1563406112.0,1.001
1563406385.0,1.001
1563407164.0,1.001
1563407314.0,1.001
1563409031.0,1.002
1563409327.0,1.002
1563409566.0,1.002
1563412691.0,1.002
1563413434.0,1.002
1563413745.0,1.002
1563414612.0,1.002
1563414807.0,1.001
1563415575.0,1.002
1563416482.0,1.002
1563417397.0,1.002
1563418861.0,1.002
1563419103.0,1.002
1563420468.0,1.002
1563420690.0,1.001
1563420991.0,1.001
1563422135.0,1.002
1563422297.0,1.001
1563422297.0,1.0
1563422981.0,1.0
1563422981.0,1.001
1563425775.0,1.002
1563425974.0,1.002
1563426262.0,1.001
1563426406.0,1.002
1563427643.0,1.002
1563428865.0,1.002
1563428891.0,1.001
1563429327.0,1.002
1563429687.0,1.001
1563431368.0,1.002
1563431993.0,1.001
1563432064.0,1.002
1563433562.0,1.002
1563433584.0,1.0
1563433584.0,1.001
1563435301.0,1.002
1563435620.0,1.0
1563435620.0,1.001
1563435690.0,1.001
1563435711.0,1.002
1563436725.0,1.002
1563437019.0,1.001
1563437405.0,1.002
1563438269.0,1.001
1563438771.0,1.001
1563439693.0,1.001
1563440399.0,1.002
1563441098.0,1.0
1563441098.0,1.001
1563441684.0,1.002
1563441903.0,1.002
1563442524.0,1.001
1563442975.0,1.002
1563445550.0,1.002
1563446799.0,1.002
1563446853.0,1.002
1563447762.0,1.001
1563448366.0,1.002
1563448848.0,1.001
1563449056.0,1.002
1563449649.0,1.0
1563449649.0,1.001
1563450736.0,1.001
1563451787.0,1.001
1563453001.0,1.002
1563455146.0,1.002
1563455839.0,1.002
1563456081.0,1.002
1563457188.0,1.002
1563457667.0,1.002
1563458124.0,1.002
1563458186.0,1.002
1563459637.0,1.002
1563460608.0,1.002
1563460703.0,1.002
1563461024.0,1.002
1563461845.0,1.002
1563462741.0,1.002
1563462954.0,1.002
1563463094.0,1.002
1563463297.0,1.002
1563464016.0,1.002
1563467342.0,1.002
1563467638.0,1.002
1563468236.0,1.002
1563468358.0,1.002
1563468786.0,1.002
1563469118.0,1.002
1563470111.0,1.002
1563471283.0,1.002
1563472248.0,1.002
1563474275.0,1.002
1563475808.0,1.002
1563476821.0,1.002
1563477370.0,1.002
